#;name;country;state;massif;length_decimals;length;depth_decimals;depth;entrances;terrain_type;source;updated_year;updated_month
668;Jashchik Pandora, ESB;Russia;-;-;10100,00;10100;0,00;0;0;Limestone;Caves and Caving I59P34S;2017;6
667;Pestera Cornilor;Romania;Muntii Padurea Craiului;-;10140,00;10140;0,00;0;0;Limestone;Romania-Natural;2022;8
666;Blissits Cave;USA;Kentucky;Breckenridge;10150,13;10150;0,00;0;0;Limestone;Ft. Knox Grotto/Lowcrawler Newsletter;1985;11
661;Reinvikgrotta;Norway;-;Sorfold;10200,00;10200;0,00;0;0;Limestone;David stPierre;2016;1
659;Cueva del Arroyo Grande;Mexico;Chiapas;-;10207,00;10207;0,00;0;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
657;Grutas de Rancho Nuevo (San Cristobal);Mexico;Chiapas;-;10218,00;10218;0,00;0;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
654;Fallen Rock Cave;USA;Virginia;Tazewell;10280,49;10280;0,00;0;0;Limestone;Virginia Speleological Survey;2016;6
650;Clarks Cave;USA;Virginia;Bath;10354,52;10354;0,00;0;0;Limestone;Virginia Speleological Survey;1994;8
649;Actun K†ua;Mexico;Yucat†n;-;10360,00;10360;0,00;0;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
638;Antsatrabonko;Madagascar;Ambilobe;Ankarana;10475,00;10475;0,00;0;0;Limestone;Atlas of the Great Caves and Karst of Africa Part 1;2017;6
636;Yagodinska Cave;Bulgaria;Yagodina;Rhodope Mountains;10500,00;10500;0,00;0;0;Limestone;Wikipedia;2022;8
626;Vorontsovskaja, WC;Russia;-;-;10640,00;10640;0,00;0;0;Limestone;Caves and Caving I59P34S;2017;6
617;Pestera Polovragi;Romania;Muntii Capatanii;-;10793,00;10793;0,00;0;0;Limestone;Romania-Natural;2022;8
612;Ambatoanjahana;Madagascar;Ambilobe;Ankarana;10810,00;10810;0,00;0;0;Limestone;Atlas of the Great Caves and Karst of Africa Part 1;2017;6
608;Cueva de la Mano;Mexico;Oaxaca;-;10841,00;10841;0,00;0;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
604;Sistema Quijada de Jaguar (Jaguar Jaw);Mexico;Quintana Roo;Tulum;10900,00;10900;0,00;0;0;Limestone;QRSS Long Caves List;2021;5
590;Mira de Aire;Portugal;;;11000,00;11000;0,00;0;0;Limestone;http://liveportugal.pt/en/mira-de-aire-caves/;1999;1
591;Khabjui;Georgia;-;-;11000,00;11000;0,00;0;0;Limestone;;;
592;Tskhogorskaja 1-2-Troja, NRP;Georgia;-;-;11000,00;11000;0,00;0;0;Limestone;;2016;1
580;Devils Icebox;USA;Missouri;Boone;11249,30;11249;0,00;0;0;Limestone;Jeff Crews Email;2024;7
578;Tham Ban Chom Ong;Laos;-;Oudoaxay;11300,00;11300;0,00;0;0;Limestone;;;
569;Complejo de los Covachos de Pe§ajorao;Spain;Cantabria;Camargo;11500,00;11500;0,00;0;0;Limestone;Pepe Membrado e-mail;2022;7
561;Sistema Rotablin;Spain;Cantabria;Reocin;11596,00;11596;0,00;0;0;Limestone;Pepe Membrado e-mail;2022;7
560;Lisanby Cave;USA;Kentucky;Caldwell;11619,46;11619;0,00;0;0;Limestone;Mike Dyas;1989;6
554;LZ/YZ-31;Spain;Canarias Island;Lanzarote;11700,00;11700;0,00;0;0;Lava;Laurens Smets e-mail;2022;12
548;Sistema Atepetaco (Miquizco + Viento + Mama Mia);Mexico;Puebla;-;11876,00;11876;0,00;0;0;Limestone;http://www.mexicancaves.org/geninfo/longanddeep.html;2019;3
547;Labyrinthe d'Antsarahaso;Madagascar;Andraafiamena;Analamera;11879,00;11879;0,00;0;0;Limestone;Atlas of the Great Caves and Karst of Africa Part 1;;
546;Pixan Bel;Mexico;Quintana Roo;Tulum;11899,00;11899;0,00;0;0;Limestone;QRSS Long Caves List;2021;5
537;Cueva Pitch;Mexico;-;-;12000,00;12000;0,00;0;0;Limestone;Eric Madelanine list;2006;7
544;Räseau de Lavayssiere;France;-;-;12000,00;12000;0,00;0;0;Limestone;Eric Madelanine list;2006;7
534;Sistema Chango Mistico;Mexico;Quintana Roo;Tulum;12006,00;12006;0,00;0;0;Limestone;QRSS Long Caves List;2021;5
532;Andriafiabe;Madagascar;Ambilobe;Ankarana;12030,00;12030;0,00;0;0;Limestone;Eric Madelanine list;;
524;Gardner's Gut;New Zealand;South Island;Waitomo;12197,00;12197;0,00;0;0;Limestone;Eric Madelanine list;2016;1
523;Atlixicaya;Mexico;-;-;12200,00;12200;0,00;0;0;Limestone;Eric Madelanine list;2006;7
522;Gua Salukkan Kallang;Indonesia;Sulawesi Selatan;Kappang;12260,00;12260;0,00;0;0;Limestone;Caves of Malaysia;2017;6
517;Mactingol Cave;Philippines;Samar Island;-;12300,00;12300;0,00;0;0;Limestone;Atlas of the Great Caves and Karst of Southeast Asia P211;2021;10
507;Whistling Cave;USA;Indiana;Lawrence;12568,98;12568;0,00;0;0;Limestone;Long cave list for Indiana, Indiana Cave Survey;2017;3
505;Lee Cave;USA;Kentucky;Edmonson;12580,24;12580;0,00;0;0;Limestone;CRF;1987;8
489;Cueva del Carcabon;Spain;Cantabria;Sierra de Homijo;12992,00;12992;0,00;0;0;Limestone;Jose Luis Membrado e-mail;2022;8
481;Sistema de Joblegïn;Spain;Cantabria;Reocin;13000,00;13000;0,00;0;0;Limestone;Jose Luis Membrado e-mail;2021;2
482;Okshola-Kristihola;Norway;-;Fauske;13000,00;13000;0,00;0;0;Limestone;David stPierre;2016;6
476;Sistema de Pozalaqgua;Spain;Burgos/Araba;Sierra Salvada;13036,00;13036;0,00;0;0;Limestone;Jose Luis Membrado e-mail;2021;2
474;?piljski sustav Panjkov ponor - Mu?kinja - Varicakova;Croatia;Nova Kr?ija;Kurdun;13052,00;13052;0,00;0;0;Limestone;Aida Bari?ic e-mail;2022;6
473;Sistema Yaxchen East;Mexico;-;-;13090,00;13090;0,00;0;0;Limestone;Eric Madelanine list;2006;7
464;Cueva de el Tobazo;Spain;Cantabria;Valderredible;13256,00;13256;0,00;0;0;Limestone;Pepe Membrado e-mail;2025;1
462;Tham Thon-Tham Houey Sam Boun;Laos;Khammouane;Thakhek;13309,00;13309;0,00;0;0;Limestone;Caves of Malaysia;;
452;Anjohy Kibojenjy;Madagascar;Bemaraha;Bekopaka;13717,00;13717;0,00;0;0;Limestone;Atlas of the Great Caves and Karst of Africa Part 1 P164;2009;7
450;AIXA-Ibarrengo;Spain;Guipuzkoa;Itziar;13754,00;13754;0,00;0;0;Limestone;Jose Luis Membrado e-mail;2021;2
443;Webster Cave Complex;USA;Kentucky;Breckenridge;13972,32;13972;0,00;0;0;Limestone;Ben Tobin WCCSG e-mail;2016;6
439;gruta de Almonda;Portugal;-;-;14000,00;14000;0,00;0;0;Limestone;Eric Madelanine list;2016;1
434;Fuchslabyrinth;Germany;Badem-Wurittenburg;-;14261,00;14261;0,00;0;0;Limestone;Andreas Wolf List of Longest Caves in Germany;2016;12
424;Complejo Piscarciano-Vacas-Arenas;Spain;Burgos;Haz de Arreba;14642,00;14642;0,00;0;0;Limestone;Jose Luis Membrado e-mail;2021;2
412;Gratta Su Bentu - Sa Oche;Italy;Sardinia;Nuoro;15000,00;15000;0,00;0;0;Limestone;http://www.Class.del.g.piulunghe/profon.d'Italia;2017;6
414;Sistema Constantino;Cuba;Pinar del Rio;-;15000,00;15000;0,00;0;0;Limestone;WLCL;;
410;Megamania Cave;New Zealand;South Island;Heaphy Valley;15007,00;15007;0,00;0;0;Limestone;Lindsay Main NZ Speleological Soc. Info Officer;2022;8
408;Tham Xe Bang Fai;Laos;Khammouane;Thakhek;15180,00;15180;0,00;0;0;Limestone;Caves of Malaysia;2009;7
406;Cueva de Alpazat;Mexico;Puebla;-;15200,00;15200;0,00;0;0;Limestone;http://www.amcs-pubs.org/longanddeep.html;2016;1
404;Boqueir∆o;Brazil;Bahia;Carinhanha;15240,00;15240;0,00;0;0;Limestone;As Maiores Cavernas Do Basil;2020;1
403;Hang Vom;Vietnam;Quang Binh;Phong Nha-Ke Bang;15310,00;15310;0,00;0;0;Limestone;Peter MacNab e-mail;2008;7
393;Hidden River Cave;USA;Kentucky;Hart;15871,76;15871;0,00;0;0;Limestone;Dave West email;2024;7
380;Blauhïhlensystem;Germany;Badem-Wurittenburg;-;16180,00;16180;0,00;0;0;Limestone;Kurt Kohler e-mail;2016;12
372;Gruta do Padre;Brazil;Bahia;Santana;16390,00;16390;0,00;0;0;Limestone;As Maiores Cavernas Do Basil;2020;1
373;Lapa S∆o Vicente l;Brazil;Goias;Sao Domingos;16390,00;16390;0,00;0;0;Limestone;As Maiores Cavernas Do Basil;2020;1
367;James (Thousand Domes) Cave;USA;Kentucky;Edmonson;16495,78;16495;0,00;0;0;Limestone;Glenn Merrill;1984;7
366;Lapa Doce ll;Brazil;Iraquara;Bahia;16500,00;16500;0,00;0;0;Limestone;As Maiores Cavernas Do Basil;2020;1
360;Complesso Ispinigoli - S.Giovanni Su Anzu-Nurachi;Italy;Sardinia;Dorgali;17000,00;17000;0,00;0;0;Limestone;Speleologia N68P102-103;2016;6
361;Katalehkhor Cave;Iran;Zanjan;-;17000,00;17000;0,00;0;0;Limestone;-;;
362;Petroglyph Cave (part of the Caves Branch S.);Belize;-;-;17000,00;17000;0,00;0;0;Limestone;Tom Miller e-mail;2016;1
357;Conjunto Santa Rita;Brazil;Iraquara;Bahia;17050,00;17050;0,00;0;0;Limestone;As Maiores Cavernas Do Basil;2020;1
356;Tham Chom Ong System;Laos;Xai;Oudoaxay;17150,00;17150;0,00;0;0;Limestone;Eurospeleo Magazine N2P66;2009;7
354;Duobing Dong;China;Guizhou;Xiuwen/Xifeng;17210,00;17210;0,00;0;0;Limestone;http://www.grottes-et-karsts-de-chine.org/npds/gkc_rcdev50.php?;2015;2
347;Grotta del Bue Marino;Italy;Sardinia;Dorgali;17400,00;17400;0,00;0;0;Limestone;Speleologia N68P102-103;2016;6
337;Goochland - Poplar Cave Complex;USA;Kentucky;Rockcastle;17992,47;17992;0,00;0;0;Limestone;Kentucky Speleo-Fest Guidebook;2016;6
334;Cueva de Mairuelegorreta;Spain;Araba;Gorbea;18088,00;18088;0,00;0;0;Limestone;Jose Luis Membrado e-mail;2018;8
333;Ambatoharanana;Madagascar;Ambilobe;Ankarana;18100,00;18100;0,00;0;0;Limestone;Atlas - Great Caves of the world;;
327;Cueva del Saman;Venezuela;Edo Zulia;Fundo las Pis.;18200,00;18200;0,00;0;0;Sandstone;Franco Urbani;2017;6
323;Rhar Bou Ma'za (Tafna River Cave);Algeria;Terni;Tlemcen range;18400,00;18400;0,00;0;0;Limestone;Atlas - Great Caves of the World;2017;6
