#;cave;country;depth;source;free_fall;updated_year;updated_month
1;Vrtoglavica;Slovenia;603;Toni palcic;false;;
2;Ghar-e-Ghala;Iran;562;Saadat Lotfi Zadeh;false;2022;12
3;Patkov gust;Croatia;553;Toni palcic;false;;
4;Da Keng;China;519;Descent N194P32;false;;
5;Lukina jama;Croatia;516;Descent N194P32;false;;
6;Velebita;Croatia;513;Velebit Speleological Society;true;;
7;Brezno pod velbom;Slovenia;501;Toni palcic;false;;
8;Miao Keng;China;491;Erin e-mail;false;;
9;Melkboden-Eishohle;Austria;451;Descent N194P32;false;;
10;Hollenhohle Hades;Austria;450;Atlas - Great Caves of the World;false;;
11;Gran Pozo MTDE (torca del Porron);Spain;435;Pepe Membrado email;true;2023;1
12;Baiyu Dong;China;424;Yvonne Droms;true;;
13;Meduza (Bojim-bojim shaft);Croatia;420;NSS News;false;;
14;Abisso di Monte Novegno;Italy;418;Descent N194P32;false;;
15;Minye;Papua New Guinea;417;Atlas - Great Caves of the World;false;;
16;El Sotano (de El Barro);Mexico;410;Mexican Deep Pit List;false;;
17;Abatz;Georgia;410;Descent N194P32;false;;
18;Kocadagini (Airstrike);Turkey;401;Emrah Sinmaz e-mail;false;2022;7
19;Hudi vrsic (Zlatorog);Slovenia;385;Toni palcic;false;;
20;Las Golondrinas;Mexico;376;Mexican Deep Pit List;true;;
21;Torca de los Hoyos;Spain;375;Jose Luis Membrado e-mail;false;2025;3
22;Oala;Iran;357;Yousef Sorninia on Facebook;false;2022;11
23;Stierwaschacht;Austria;350;Atlas - Great Caves of the World;false;;
24;sima Aonda;Venezuela;350;Atlas - Great Caves of the World;false;;
25;Pozo de los Pasiegos (Sima del Tejon);Spain;346;Jose Luis Membrado;false;2023;4
26;Hochlecken-Grobhohle;Austria;343;Maps of Austria deep caves;false;2022;1
27;Mavro Skiadi;Greece;342;Atlas - Great Caves of the World;false;;
28;Pozo Negro (Sistema Garma Ciega);Spain;340;Jose Luis Membrado;false;;
29;Sotano de la Clubra;Mexico;336;Daniel Martin email;false;2023;10
30;Tomasa Kiahua;Mexico;330;Mexican Deep Pit List;false;;
31;Puits du Vautour in Grotte de L'ours;France;330;Dagobert L'Ecluse;false;2022;7
32;Sotanito de Alhuastle;Mexico;329;Mexican Deep Pit List;false;;
33;Zacaton;Mexico;329;Mexican Deep Pit List;false;;
34;Aphanize;France;328;Atlas - Great Caves of the World;true;;
35;Lepineaux (Sistema de la Piedra de San Martin);Spain;320;Jose Luis Membrado;false;2023;1
36;Pozo el Buldo Torca de la Mole);Spain;314;Jose Luis Membrado;false;;
37;Nare;Papua New Guinea;310;Atlas - Great Caves of the World;false;;
38;pozzo Mandini;Italy;310;Atlas - Great Caves of the World;false;;
39;Xonga;Mexico;310;Atlas - Great Caves of the World;false;;
40;Pozo Vicente Alegre (Sis.del Trave);Spain;309;Atlas - Great Caves of the World;false;;
41;Pozo de los Caines (Torca de Cabeza Llambrera);Spain;308;Jose Luis Membrado;false;;
42;Altes Murmeltier;Austria;307;Atlas - Great Caves of the World;false;;
43;Poza Tras la Hayada;Spain;306;Jose Luis Membrado;true;;
44;Pot II;France;302;Atlas - Great Caves of the World;false;;
45;Touya de Liet;France;302;Atlas - Great Caves of the World;false;;
46;Pozo Juhue (Cueva de Coventosa);Spain;302;Jose Luis Membrado;false;2022;5
47;Enrico Revel;Italy;299;Atlas - Great Caves of the World;false;;
